,coef,std_err,z,p_value,ci_low,ci_high,odds_ratio,odds_ci_low,odds_ci_high,AME,AME_std_err,AME_z,AME_p_value
intercept,0.004845178871568097,1.108305125063865,0.004371701223784288,0.9965118981997372,-2.1673929501347673,2.1770833078779037,1.0048569357310768,0.11447567200504695,8.820541898564551,,,,
edad,0.08418136218414375,0.051898497551692145,1.6220385204850507,0.10479510050655128,-0.01753782386891302,0.18590054823720054,1.0878261664489028,0.9826150686586287,1.2043024844167443,0.013553491537416794,0.00835583826539692,1.6220385204850507,0.10479510050655128
edad2,-0.0013492444432536108,0.0005949602810754694,-2.267789104870451,0.02334206378432535,-0.0025153451663933583,-0.00018314372011386327,0.9986516653777939,0.9974878156635115,0.9998168730496735,-0.0002172330391083758,9.579067058829766e-05,-2.267789104870451,0.02334206378432535
educ,-0.23764284576831254,0.03566014172190942,-6.664102672993751,2.662869924563438e-11,-0.30753543922684917,-0.16775025230977592,0.7884842512975382,0.735256810153189,0.8455649862184997,-0.03826132311808979,0.00574140660724566,-6.664102672993751,2.662869924563438e-11
horastrab,-0.017852732351230267,0.0045629740339897615,-3.9125211360495604,9.133754114398762e-05,-0.026795997120241645,-0.00890946758221889,0.9823056835552088,0.9735598302763029,0.9911301041159575,-0.0028743518822239122,0.0007346546593039293,-3.9125211360495604,9.133754114398762e-05
num_miembros_hogar,0.418012788402459,0.08324229995371787,5.021639102173668,5.123237993842622e-07,0.25486087850289174,0.5811646983020262,1.5189400990953326,1.2902821024079616,1.7881198385484962,0.06730151001538288,0.013402299258473341,5.021639102173668,5.123237993842622e-07
